timestamp,service,level,message,latency_ms,request_count,status_code,true_anomaly
2026-04-02 19:16:22.428265,inventory-service,INFO,request processed successfully,124.47,19,200,0
2026-04-02 19:16:23.428265,auth-service,INFO,user login successful,112.18,17,200,0
2026-04-02 19:16:24.428265,auth-service,INFO,order created successfully,121.33,21,200,0
2026-04-02 19:16:25.428265,inventory-service,INFO,api call completed,180.01,27,200,0
2026-04-02 19:16:26.428265,payment-service,INFO,cache hit for request,124.18,11,200,0
2026-04-02 19:16:27.428265,payment-service,INFO,cache hit for request,94.49,17,200,0
2026-04-02 19:16:28.428265,auth-service,INFO,user login successful,127.82,19,200,0
2026-04-02 19:16:50.428265,order-service,INFO,user login successful,139.53,33,200,0
2026-04-02 19:16:54.428265,search-service,INFO,fetched results from database,90.1,20,200,0
2026-04-02 19:16:58.428265,search-service,INFO,user login successful,69.23,18,200,0
2026-04-02 19:16:52.428265,auth-service,INFO,session validated,145.56,24,200,0
2026-04-02 19:16:44.428265,order-service,INFO,payment verified,120.07,14,200,0
2026-04-02 19:16:34.428265,inventory-service,INFO,session validated,160.59,26,200,0
2026-04-02 19:16:48.428265,auth-service,INFO,order created successfully,127.41,19,200,0
2026-04-02 19:17:04.428265,search-service,INFO,api call completed,105.83,18,200,0
2026-04-02 19:17:22.428265,auth-service,INFO,session validated,82.78,29,200,0
2026-04-02 19:17:10.428265,search-service,INFO,user login successful,116.28,26,200,0
2026-04-02 19:16:56.428265,search-service,INFO,request processed successfully,120.1,20,200,0
2026-04-02 19:16:58.428265,auth-service,INFO,payment verified,120.84,15,200,0
2026-04-02 19:16:41.428265,auth-service,ERROR,payment gateway error,247.79,21,502,1
2026-04-02 19:17:22.428265,payment-service,INFO,payment verified,150.54,23,200,0
2026-04-02 19:16:43.428265,auth-service,INFO,session validated,159.6,24,200,0
2026-04-02 19:17:50.428265,payment-service,INFO,fetched results from database,69.97,13,200,0
2026-04-02 19:17:54.428265,auth-service,INFO,payment verified,77.88,23,200,0
2026-04-02 19:17:10.428265,order-service,INFO,api call completed,121.11,21,200,0
2026-04-02 19:17:37.428265,order-service,ERROR,authentication failed,244.88,13,503,1
2026-04-02 19:16:48.428265,payment-service,INFO,session validated,153.54,16,200,0
2026-04-02 19:17:43.428265,search-service,INFO,payment verified,112.64,18,200,0
2026-04-02 19:17:46.428265,search-service,INFO,cache hit for request,195.67,20,200,0
2026-04-02 19:17:20.428265,search-service,INFO,session validated,104.49,24,200,0
2026-04-02 19:18:22.428265,inventory-service,INFO,user login successful,115.6,17,200,0
2026-04-02 19:17:55.428265,search-service,INFO,session validated,97.18,25,200,0
2026-04-02 19:18:30.428265,search-service,INFO,cache hit for request,162.91,26,200,0
2026-04-02 19:16:55.428265,inventory-service,INFO,user login successful,108.79,18,200,0
2026-04-02 19:18:04.428265,auth-service,INFO,fetched results from database,105.64,18,200,0
2026-04-02 19:18:07.428265,search-service,INFO,session validated,131.86,21,200,0
2026-04-02 19:18:46.428265,auth-service,INFO,order created successfully,140.5,22,200,0
2026-04-02 19:18:50.428265,order-service,INFO,session validated,172.43,22,200,0
2026-04-02 19:17:38.428265,payment-service,INFO,payment verified,152.28,13,200,0
2026-04-02 19:18:58.428265,inventory-service,INFO,order created successfully,146.75,23,200,0
2026-04-02 19:18:22.428265,inventory-service,ERROR,payment gateway error,329.24,15,502,1
2026-04-02 19:17:03.428265,auth-service,INFO,order created successfully,100.5,20,200,0
2026-04-02 19:19:10.428265,order-service,INFO,fetched results from database,154.38,18,200,0
2026-04-02 19:19:14.428265,payment-service,INFO,api call completed,138.53,16,200,0
2026-04-02 19:17:06.428265,order-service,INFO,order created successfully,133.79,23,200,0
2026-04-02 19:17:07.428265,search-service,INFO,cache hit for request,116.3,20,200,0
2026-04-02 19:18:40.428265,search-service,INFO,api call completed,125.79,28,200,0
2026-04-02 19:17:56.428265,auth-service,INFO,session validated,118.03,23,200,0
2026-04-02 19:17:58.428265,auth-service,INFO,order created successfully,154.31,11,200,0
2026-04-02 19:19:38.428265,inventory-service,INFO,session validated,134.16,22,200,0
2026-04-02 19:18:02.428265,search-service,INFO,cache hit for request,130.61,16,200,0
2026-04-02 19:19:46.428265,payment-service,INFO,session validated,138.2,16,200,0
2026-04-02 19:19:50.428265,auth-service,INFO,payment verified,98.8,19,200,0
2026-04-02 19:18:08.428265,payment-service,INFO,api call completed,107.52,17,200,0
2026-04-02 19:19:58.428265,payment-service,INFO,payment verified,110.63,24,200,0
2026-04-02 19:19:07.428265,order-service,INFO,payment verified,139.68,24,200,0
2026-04-02 19:17:18.428265,inventory-service,INFO,api call completed,121.99,21,200,0
2026-04-02 19:19:13.428265,auth-service,INFO,payment verified,137.06,19,200,0
2026-04-02 19:17:20.428265,inventory-service,INFO,fetched results from database,122.92,26,200,0
2026-04-02 19:18:20.428265,search-service,INFO,api call completed,153.7,22,200,0
2026-04-02 19:19:22.428265,search-service,INFO,session validated,135.55,18,200,0
2026-04-02 19:17:23.428265,inventory-service,INFO,session validated,125.18,21,200,0
2026-04-02 19:18:26.428265,auth-service,INFO,fetched results from database,150.18,22,200,0
2026-04-02 19:20:34.428265,search-service,INFO,user login successful,143.56,25,200,0
2026-04-02 19:20:38.428265,auth-service,INFO,order created successfully,142.51,18,200,0
2026-04-02 19:18:32.428265,auth-service,INFO,payment verified,75.69,21,200,0
2026-04-02 19:17:28.428265,payment-service,INFO,request processed successfully,120.2,17,200,0
2026-04-02 19:19:43.428265,auth-service,INFO,api call completed,162.14,21,200,0
2026-04-02 19:17:30.428265,search-service,INFO,fetched results from database,130.2,11,200,0
2026-04-02 19:17:31.428265,payment-service,INFO,cache hit for request,96.47,23,200,0
2026-04-02 19:19:52.428265,search-service,INFO,session validated,210.75,23,200,0
2026-04-02 19:17:33.428265,search-service,INFO,api call completed,133.61,20,200,0
2026-04-02 19:19:58.428265,search-service,INFO,session validated,133.55,25,200,0
2026-04-02 19:21:14.428265,search-service,INFO,fetched results from database,113.29,33,200,0
2026-04-02 19:17:36.428265,payment-service,INFO,payment verified,140.58,23,200,0
2026-04-02 19:17:37.428265,auth-service,INFO,order created successfully,141.51,21,200,0
2026-04-02 19:17:38.428265,auth-service,INFO,fetched results from database,146.16,29,200,0
2026-04-02 19:17:39.428265,payment-service,ERROR,latency spike detected while processing request,1405.59,24,503,1
2026-04-02 19:21:34.428265,auth-service,INFO,api call completed,79.57,21,200,0
2026-04-02 19:17:41.428265,payment-service,INFO,order created successfully,133.28,21,200,0
2026-04-02 19:21:42.428265,inventory-service,INFO,api call completed,124.26,22,200,0
2026-04-02 19:21:46.428265,search-service,INFO,api call completed,119.37,19,200,0
2026-04-02 19:20:28.428265,auth-service,INFO,payment verified,145.25,16,200,0
2026-04-02 19:19:08.428265,payment-service,INFO,order created successfully,83.56,11,200,0
2026-04-02 19:21:58.428265,order-service,INFO,fetched results from database,118.38,21,200,0
2026-04-02 19:17:47.428265,auth-service,INFO,order created successfully,121.4,17,200,0
2026-04-02 19:17:48.428265,inventory-service,INFO,payment verified,90.04,22,200,0
2026-04-02 19:19:16.428265,payment-service,INFO,api call completed,99.22,26,200,0
2026-04-02 19:22:14.428265,auth-service,INFO,order created successfully,87.59,22,200,0
2026-04-02 19:22:18.428265,search-service,INFO,api call completed,99.94,25,200,0
2026-04-02 19:20:52.428265,payment-service,ERROR,latency spike detected while processing request,1507.88,13,500,1
2026-04-02 19:22:26.428265,auth-service,INFO,order created successfully,126.78,27,200,0
2026-04-02 19:22:30.428265,search-service,INFO,user login successful,112.72,19,200,0
2026-04-02 19:22:34.428265,auth-service,INFO,cache hit for request,156.83,22,200,0
2026-04-02 19:17:56.428265,inventory-service,INFO,user login successful,129.21,23,200,0
2026-04-02 19:17:57.428265,payment-service,INFO,user login successful,115.75,30,200,0
2026-04-02 19:21:10.428265,order-service,INFO,user login successful,197.76,17,200,0
2026-04-02 19:17:59.428265,payment-service,INFO,order created successfully,88.89,8,200,0
2026-04-02 19:18:00.428265,payment-service,INFO,fetched results from database,115.83,26,200,0
2026-04-02 19:19:40.428265,order-service,INFO,api call completed,133.76,17,200,0
2026-04-02 19:19:42.428265,order-service,INFO,user login successful,90.0,21,200,0
2026-04-02 19:19:44.428265,search-service,INFO,api call completed,143.33,14,200,0
2026-04-02 19:18:04.428265,inventory-service,INFO,request processed successfully,87.42,11,200,0
2026-04-02 19:19:48.428265,payment-service,INFO,session validated,157.98,27,200,0
2026-04-02 19:23:18.428265,auth-service,INFO,user login successful,160.05,30,200,0
2026-04-02 19:19:52.428265,payment-service,INFO,payment verified,118.48,14,200,0
2026-04-02 19:18:08.428265,auth-service,INFO,user login successful,111.53,14,200,0
2026-04-02 19:23:30.428265,order-service,INFO,payment verified,119.74,20,200,0
2026-04-02 19:23:34.428265,payment-service,INFO,user login successful,96.73,18,200,0
2026-04-02 19:18:11.428265,search-service,INFO,order created successfully,109.36,21,200,0
2026-04-02 19:21:52.428265,order-service,INFO,order created successfully,164.75,28,200,0
2026-04-02 19:23:46.428265,order-service,INFO,order created successfully,135.82,23,200,0
2026-04-02 19:18:14.428265,payment-service,INFO,request processed successfully,121.75,25,200,0
2026-04-02 19:18:15.428265,inventory-service,INFO,payment verified,119.8,15,200,0
2026-04-02 19:22:04.428265,auth-service,INFO,session validated,124.33,15,200,0
2026-04-02 19:22:07.428265,search-service,INFO,request processed successfully,74.68,18,200,0
2026-04-02 19:22:10.428265,payment-service,INFO,fetched results from database,128.73,10,200,0
2026-04-02 19:22:13.428265,search-service,INFO,request processed successfully,83.37,25,200,0
2026-04-02 19:18:20.428265,search-service,INFO,request processed successfully,139.87,19,200,0
2026-04-02 19:24:18.428265,inventory-service,INFO,user login successful,90.67,23,200,0
2026-04-02 19:22:22.428265,auth-service,INFO,fetched results from database,120.85,19,200,0
2026-04-02 19:20:24.428265,payment-service,INFO,request processed successfully,110.99,25,200,0
2026-04-02 19:18:24.428265,search-service,INFO,user login successful,144.58,23,200,0
2026-04-02 19:24:34.428265,payment-service,INFO,payment verified,110.68,23,200,0
2026-04-02 19:18:26.428265,auth-service,INFO,cache hit for request,114.1,25,200,0
2026-04-02 19:20:32.428265,search-service,INFO,user login successful,168.84,15,200,0
2026-04-02 19:24:46.428265,payment-service,INFO,payment verified,148.0,30,200,0
2026-04-02 19:20:36.428265,payment-service,INFO,request processed successfully,129.98,20,200,0
2026-04-02 19:22:46.428265,inventory-service,INFO,user login successful,130.16,21,200,0
2026-04-02 19:24:58.428265,payment-service,INFO,fetched results from database,73.92,23,200,0
2026-04-02 19:25:02.428265,search-service,INFO,fetched results from database,82.99,15,200,0
2026-04-02 19:20:44.428265,search-service,INFO,payment verified,161.07,19,200,0
2026-04-02 19:18:34.428265,order-service,INFO,cache hit for request,121.69,29,200,0
2026-04-02 19:20:48.428265,auth-service,ERROR,nullpointerexception occurred,443.06,17,500,1
